predicate_id	lemma	gf_function	subject_sort	object_sort	strength	gf_expression	provenance
verbnet-analyse	analyse	VN_Analyse	Human	Readable	SelectionalPreference	"mkV2 ""analyse"""	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:assessment-34.1:frame-map:Scrutiny
verbnet-check	check	VN_Check	Human	Readable	SelectionalPreference	"mkV2 ""check"""	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:search-35.2:frame-map:Scrutiny
verbnet-chew	chew	VN_Chew	Human	Edible	SelectionalPreference	"mkV2 ""chew"""	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:chew-39.2:member-feature:+solid
verbnet-chomp	chomp	VN_Chomp	Human	Edible	SelectionalPreference	"mkV2 ""chomp"""	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:chew-39.2:member-feature:+solid
verbnet-consume	consume	VN_Consume	Human	Edible	SelectionalPreference	"mkV2 ""consume"""	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:devour-39.4:frame-map:Ingestion
verbnet-crunch	crunch	VN_Crunch	Human	Edible	SelectionalPreference	"mkV2 ""crunch"""	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:chew-39.2:member-feature:+solid
verbnet-devour	devour	VN_Devour	Human	Edible	SelectionalPreference	"mkV2 ""devour"""	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:devour-39.4:frame-map:Ingestion
verbnet-doff	doff	VN_Doff	Human	Wearable	SelectionalPreference	"mkV2 ""doff"""	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:simple_dressing-41.3.1-2:selectional-preference:+garment
verbnet-don	don	VN_Don	Human	Wearable	SelectionalPreference	"mkV2 ""don"""	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:simple_dressing-41.3.1-2:selectional-preference:+garment
verbnet-gnaw	gnaw	VN_Gnaw	Human	Edible	SelectionalPreference	"mkV2 ""gnaw"""	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:chew-39.2:member-feature:+solid
verbnet-gobble	gobble	VN_Gobble	Human	Edible	SelectionalPreference	"mkV2 ""gobble"""	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:gobble-39.3-1:member-feature:+solid
verbnet-gulp	gulp	VN_Gulp	Human	Drinkable	SelectionalPreference	"mkV2 ""gulp"""	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:gobble-39.3:member-feature:+liquid
verbnet-guzzle	guzzle	VN_Guzzle	Human	Drinkable	SelectionalPreference	"mkV2 ""guzzle"""	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:gobble-39.3:member-feature:+liquid
verbnet-hear	hear	VN_Hear	Human	Audible	SelectionalPreference	"mkV2 ""hear"""	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:learn-14-2-1:lemma-map:hear
verbnet-imbibe	imbibe	VN_Imbibe	Human	Edible	SelectionalPreference	"mkV2 ""imbibe"""	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:devour-39.4:frame-map:Ingestion
verbnet-ingest	ingest	VN_Ingest	Human	Edible	SelectionalPreference	"mkV2 ""ingest"""	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:devour-39.4:frame-map:Ingestion
verbnet-lap	lap	VN_Lap	Human	Drinkable	SelectionalPreference	"mkV2 ""lap"""	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:chew-39.2:member-feature:+liquid
verbnet-lick	lick	VN_Lick	Human	Edible	SelectionalPreference	"mkV2 ""lick"""	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:chew-39.2:member-feature:+solid
verbnet-masticate	masticate	VN_Masticate	Human	Edible	SelectionalPreference	"mkV2 ""masticate"""	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:chew-39.2:member-feature:+solid
verbnet-monitor	monitor	VN_Monitor	Human	Readable	SelectionalPreference	"mkV2 ""monitor"""	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:investigate-35.4:frame-map:Scrutiny
verbnet-munch	munch	VN_Munch	Human	Edible	SelectionalPreference	"mkV2 ""munch"""	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:chew-39.2:member-feature:+solid
verbnet-nibble	nibble	VN_Nibble	Human	Edible	SelectionalPreference	"mkV2 ""nibble"""	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:chew-39.2:member-feature:+solid
verbnet-notice	notice	VN_Notice	Human	Watchable	SelectionalPreference	"mkV2 ""notice"""	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:see-30.1-1:lemma-map:notice
verbnet-observe	observe	VN_Observe	Human	Watchable	SelectionalPreference	"mkV2 ""observe"""	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:abide_by-93.2:lemma-map:observe
verbnet-probe	probe	VN_Probe	Human	Readable	SelectionalPreference	"mkV2 ""probe"""	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:search-35.2:frame-map:Scrutiny
verbnet-quaff	quaff	VN_Quaff	Human	Drinkable	SelectionalPreference	"mkV2 ""quaff"""	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:gobble-39.3:member-feature:+liquid
verbnet-scan	scan	VN_Scan	Human	Readable	SelectionalPreference	"mkV2 ""scan"""	VerbNet-3.4:ae8e9cfdc2c0d3414b748763612f1a0a34194cc1:assessment-34.1:frame-map:Reading_perception
