author_id	author_label	work_id	work_label	provenance
Q47595	Alfonso X of Castile and Leon	Q9076542	Setenario	Wikidata:P106/P800/P31
Q44331	Arthur Schnitzler	Q266232	Dream Story	Wikidata:P106/P800/P31
Q44331	Arthur Schnitzler	Q1823758	Flirtation	Wikidata:P106/P800/P31
Q44331	Arthur Schnitzler	Q1471310	Fräulein Else	Wikidata:P106/P800/P31
Q44331	Arthur Schnitzler	Q1821658	Lieutenant Gustl	Wikidata:P106/P800/P31
Q44331	Arthur Schnitzler	Q1414190	Merry-Go-Round	Wikidata:P106/P800/P31
Q44652	Christian Morgenstern	Q1492036	Gallows Songs	Wikidata:P106/P800/P31
Q45970	Czesław Miłosz	Q7833077	A Treatise on Poetry	Wikidata:P106/P800/P31
Q45970	Czesław Miłosz	Q7075658	Ocalenie	Wikidata:P106/P800/P31
Q44575	Eduardo Galeano	Q5980932	Children of the Days	Wikidata:P106/P800/P31
Q44575	Eduardo Galeano	Q5243350	Days and Nights of Love and War	Wikidata:P106/P800/P31
Q44575	Eduardo Galeano	Q110295641	Football in Sun and Shadow	Wikidata:P106/P800/P31
Q44575	Eduardo Galeano	Q20014906	Mirrors	Wikidata:P106/P800/P31
Q44575	Eduardo Galeano	Q21104325	The Book of Embraces	Wikidata:P106/P800/P31
Q44575	Eduardo Galeano	Q7899274	Upside Down: A Primer for the Looking Glass World	Wikidata:P106/P800/P31
Q44575	Eduardo Galeano	Q110295240	Walking Words	Wikidata:P106/P800/P31
Q47243	Elfriede Jelinek	Q8031378	Women as Lovers	Wikidata:P106/P800/P31
Q47243	Elfriede Jelinek	Q8031815	Wonderful, Wonderful Times	Wikidata:P106/P800/P31
Q44775	Ernst Jandl	Q856447	bibliothek	Wikidata:P106/P800/P31
Q44775	Ernst Jandl	Q1823543	lichtung	Wikidata:P106/P800/P31
Q43459	Ferdowsi	Q8279	Shahnameh	Wikidata:P106/P800/P31
Q43523	Gerhart Hauptmann	Q7714736	The Assumption of Hannele	Wikidata:P106/P800/P31
Q43523	Gerhart Hauptmann	Q1215655	The Rats	Wikidata:P106/P800/P31
Q43523	Gerhart Hauptmann	Q741606	The Weavers	Wikidata:P106/P800/P31
Q44011	Gregory of Nazianzus	Q18293847	The Spirit and the Resurrection	Wikidata:P106/P800/P31
Q44584	Hans Magnus Enzensberger	Q1064934	The Number Devil	Wikidata:P106/P800/P31
Q44584	Hans Magnus Enzensberger	Q27149523	The Short Summer of Anarchy	Wikidata:P106/P800/P31
Q44584	Hans Magnus Enzensberger	Q5261233	The sinking of the Titanic	Wikidata:P106/P800/P31
Q44403	Heinrich Heine	Q757821	Atta Troll	Wikidata:P106/P800/P31
Q44403	Heinrich Heine	Q323160	Die Harzreise	Wikidata:P106/P800/P31
Q44403	Heinrich Heine	Q261565	Germany. A Winter's Tale	Wikidata:P106/P800/P31
Q44403	Heinrich Heine	Q20723652	The rabbi of Bacherach	Wikidata:P106/P800/P31
Q44233	Hesiod	Q1233074	Catalogue of Women	Wikidata:P106/P800/P31
Q44233	Hesiod	Q156498	Theogony	Wikidata:P106/P800/P31
Q44233	Hesiod	Q667285	Works and Days	Wikidata:P106/P800/P31
Q46420	Ibn Arabi	Q12190853	The Meccan Revelations	Wikidata:P106/P800/P31
Q46602	Ivan Bunin	Q16386684	The Life of Arseniev	Wikidata:P106/P800/P31
Q46602	Ivan Bunin	Q7772632	The Village	Wikidata:P106/P800/P31
Q47561	Ivo Andrić	Q16098237	Ex Ponto	Wikidata:P106/P800/P31
Q47561	Ivo Andrić	Q16511856	Jelena, the Woman Who Is Not	Wikidata:P106/P800/P31
Q47561	Ivo Andrić	Q25468693	Most na Žepi	Wikidata:P106/P800/P31
Q47561	Ivo Andrić	Q16084412	Omerpaša Latas	Wikidata:P106/P800/P31
Q45765	Jack London	Q18209556	The Road	Wikidata:P106/P800/P31
Q44248	Jerome	Q3675945	Chronicon	Wikidata:P106/P800/P31
Q47737	Kahlil Gibran	Q16126077	Sand and Foam	Wikidata:P106/P800/P31
Q47737	Kahlil Gibran	Q12194064	The Processions	Wikidata:P106/P800/P31
Q44328	Karl Kraus	Q1218953	The Last Days of Mankind	Wikidata:P106/P800/P31
Q48301	Martin Heidegger	Q16385145	Black Notebooks	Wikidata:P106/P800/P31
Q47619	Nadine Gordimer	Q4998526	Burger's Daughter	Wikidata:P106/P800/P31
Q47619	Nadine Gordimer	Q5554299	Get a Life	Wikidata:P106/P800/P31
Q47619	Nadine Gordimer	Q6310424	July's People	Wikidata:P106/P800/P31
Q47619	Nadine Gordimer	Q7757041	The Pickup	Wikidata:P106/P800/P31
Q43718	Nikolai Gogol	Q647379	Dead Souls	Wikidata:P106/P800/P31
Q43718	Nikolai Gogol	Q4179360	Marriage	Wikidata:P106/P800/P31
Q43718	Nikolai Gogol	Q1250822	Taras Bulba	Wikidata:P106/P800/P31
Q43718	Nikolai Gogol	Q471066	The Government Inspector	Wikidata:P106/P800/P31
Q44107	Peter Handke	Q2595103	A Sorrow Beyond Dreams	Wikidata:P106/P800/P31
Q44107	Peter Handke	Q266970	Offending the Audience	Wikidata:P106/P800/P31
Q44107	Peter Handke	Q1199307	Short Letter, Long Farewell	Wikidata:P106/P800/P31
Q44107	Peter Handke	Q252283	The Goalie's Anxiety at the Penalty Kick	Wikidata:P106/P800/P31
Q44107	Peter Handke	Q3822159	The Left-Handed Woman	Wikidata:P106/P800/P31
Q44107	Peter Handke	Q30589439	The Moravian Night	Wikidata:P106/P800/P31
Q48226	Ralph Waldo Emerson	Q5158815	Concord Hymn	Wikidata:P106/P800/P31
Q48226	Ralph Waldo Emerson	Q59279612	Music	Wikidata:P106/P800/P31
Q48226	Ralph Waldo Emerson	Q59279416	The Humble-Bee	Wikidata:P106/P800/P31
Q48226	Ralph Waldo Emerson	Q59288481	Thine Eyes still shined	Wikidata:P106/P800/P31
Q48226	Ralph Waldo Emerson	Q59289368	Waldeinsamkeit	Wikidata:P106/P800/P31
Q48226	Ralph Waldo Emerson	Q19079307	Woodnotes I	Wikidata:P106/P800/P31
Q43347	Rumi	Q1231638	Diwan-e Shams-e Tabrizi	Wikidata:P106/P800/P31
Q43347	Rumi	Q6586125	Maktubat	Wikidata:P106/P800/P31
Q43347	Rumi	Q6579646	Masnavi	Wikidata:P106/P800/P31
Q43347	Rumi	Q5943719	Seven Sessions	Wikidata:P106/P800/P31
Q44519	Selma Lagerlöf	Q1559656	Gösta Berlings Saga	Wikidata:P106/P800/P31
Q44519	Selma Lagerlöf	Q478463	Jerusalem	Wikidata:P106/P800/P31
Q44519	Selma Lagerlöf	Q726254	The Wonderful Adventures of Nils	Wikidata:P106/P800/P31
Q47478	Swami Vivekananda	Q14947539	Bartaman Bharat	Wikidata:P106/P800/P31
Q47478	Swami Vivekananda	Q6203929	Jnana Yoga	Wikidata:P106/P800/P31
Q47478	Swami Vivekananda	Q7285564	Raja Yoga	Wikidata:P106/P800/P31
Q44336	Thomas Bernhard	Q698410	Correction	Wikidata:P106/P800/P31
Q44336	Thomas Bernhard	Q382084	Extinction	Wikidata:P106/P800/P31
Q44336	Thomas Bernhard	Q1601742	Heldenplatz	Wikidata:P106/P800/P31
Q44336	Thomas Bernhard	Q358958	The Loser	Wikidata:P106/P800/P31
Q44336	Thomas Bernhard	Q876505	Woodcutters	Wikidata:P106/P800/P31
Q44934	Venantius Fortunatus	Q42197378	vita Martini	Wikidata:P106/P800/P31
Q44934	Venantius Fortunatus	Q124654397	Vita sancti Germani	Wikidata:P106/P800/P31
Q44385	Walther von der Vogelweide	Q1759329	Palästinalied	Wikidata:P106/P800/P31
Q44385	Walther von der Vogelweide	Q19232230	Unter der Linden	Wikidata:P106/P800/P31
Q44183	William Golding	Q271764	Lord of the Flies	Wikidata:P106/P800/P31
Q43736	Yasunari Kawabata	Q1376060	Snow Country	Wikidata:P106/P800/P31
Q43736	Yasunari Kawabata	Q3276314	The Dancing Girl of Izu	Wikidata:P106/P800/P31
Q43736	Yasunari Kawabata	Q588686	The House of the Sleeping Beauties	Wikidata:P106/P800/P31
Q43736	Yasunari Kawabata	Q1062201	The Old Capital	Wikidata:P106/P800/P31
